"K0_number","Level2","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31"
"K00106","Chlorophyte",35,7,18,41,28,22,47,22,38,21,93,92,120
"K00106","Ciliate",1,0,1,0,2,1,25,8,23,146,414,342,267
"K00106","Diatom",92,43,161,142,144,140,5,1,5,6,34,38,3
"K00106","Dinoflagellate",185,115,161,286,204,88,1625,1031,1859,274,1151,874,1280
"K00106","Haptophyte",22,12,16,35,34,20,98,55,104,0,0,6,3
"K00111","Chlorophyte",28,11,25,43,50,32,1,4,7,0,0,0,0
"K00111","Ciliate",16,5,11,32,29,11,15,9,18,0,0,0,0
"K00111","Diatom",61,19,84,86,81,108,20,12,52,0,10,5,5
"K00111","Dinoflagellate",43,20,57,74,48,38,96,51,73,49,161,120,157
"K00111","Haptophyte",628,310,946,1123,910,915,7,1,0,2,34,28,14
"K00121","Chlorophyte",466,225,602,856,620,500,50,26,51,11,68,49,23
"K00121","Ciliate",5,0,2,6,4,5,2,0,8,3,106,104,61
"K00121","Diatom",39,21,123,97,66,86,277,272,528,11,63,70,26
"K00121","Dinoflagellate",176,117,185,274,196,136,462,400,630,131,377,309,528
"K00121","Haptophyte",113,52,199,173,171,168,117,51,131,26,64,58,79
"K00128","Chlorophyte",215,117,286,413,305,278,37,21,33,45,106,140,77
"K00128","Ciliate",44,18,32,31,53,34,906,563,908,34,221,160,141
"K00128","Diatom",58,36,60,100,80,59,100,71,101,24,101,87,63
"K00128","Dinoflagellate",854,430,926,1290,977,839,6085,3880,7286,2045,7985,6172,7155
"K00128","Haptophyte",7,3,13,16,14,15,278,175,336,99,396,362,341
"K00134","Chlorophyte",112,66,159,143,146,149,171,102,157,60,169,144,111
"K00134","Ciliate",839,526,962,1601,1527,1483,725,424,763,60,261,175,132
"K00134","Diatom",3636,2025,8994,5780,4788,6982,1060,680,1485,374,1441,1202,1029
"K00134","Dinoflagellate",4406,2326,5792,6876,5568,5305,6859,4968,9534,2122,8484,5856,6910
"K00134","Haptophyte",5462,2589,11348,9411,8018,9566,616,730,834,107,529,341,281
"K00135","Chlorophyte",71,22,60,92,80,65,0,0,0,0,0,0,0
"K00135","Ciliate",0,0,0,1,8,4,116,55,109,9,98,46,40
"K00135","Diatom",0,1,4,1,0,2,7,1,4,0,0,0,0
"K00135","Dinoflagellate",25,13,37,45,35,21,157,94,165,38,244,198,284
"K00135","Haptophyte",6,1,5,8,2,9,3,0,0,0,28,5,9
"K00140","Chlorophyte",19,11,12,28,32,16,56,21,48,77,207,153,109
"K00140","Ciliate",277,169,192,396,404,327,333,226,394,33,140,89,80
"K00140","Diatom",79,41,176,131,127,133,20,13,33,12,45,20,12
"K00140","Dinoflagellate",208,102,206,265,226,189,546,364,650,258,1008,710,1004
"K00140","Haptophyte",332,184,312,605,509,349,47,17,62,33,195,164,183
"K00161","Chlorophyte",835,489,1165,1719,1313,1033,18,14,21,15,38,17,17
"K00161","Ciliate",105,48,70,125,139,114,432,245,605,20,95,41,33
"K00161","Diatom",95,56,269,168,140,192,68,58,108,70,194,156,128
"K00161","Dinoflagellate",23,13,32,36,28,47,16,23,18,4,12,12,0
"K00161","Haptophyte",489,241,735,842,738,678,31,23,67,1,22,7,11
"K00162","Chlorophyte",235,147,382,413,330,318,5,3,15,0,0,0,0
"K00162","Ciliate",61,28,32,72,100,88,265,149,309,17,63,73,41
"K00162","Diatom",43,33,207,91,78,139,9,16,106,45,312,255,168
"K00162","Dinoflagellate",7,10,26,24,24,20,2,1,3,0,13,14,12
"K00162","Haptophyte",166,93,389,268,243,294,9,6,12,0,0,6,5
"K00163","Chlorophyte",3,4,2,7,9,4,20,9,14,7,115,20,45
"K00163","Ciliate",2,1,0,1,1,4,0,0,0,0,0,0,0
"K00163","Diatom",1,0,12,6,2,6,0,0,0,35,92,47,63
"K00163","Dinoflagellate",171,92,142,263,228,93,200,120,236,91,256,207,296
"K00163","Haptophyte",8,10,4,18,19,17,0,0,0,1,0,3,2
"K00164","Chlorophyte",350,159,240,657,498,246,13,0,3,16,38,33,67
"K00164","Ciliate",161,84,116,198,188,133,1527,913,1701,111,501,332,218
"K00164","Diatom",137,84,151,215,152,169,44,38,61,12,63,36,48
"K00164","Dinoflagellate",106,48,86,164,113,51,334,140,351,56,219,193,345
"K00164","Haptophyte",73,45,91,142,118,83,148,94,177,35,76,40,66
"K00166","Chlorophyte",0,0,0,4,6,0,0,0,0,0,7,8,16
"K00166","Ciliate",17,9,9,16,33,17,9,8,17,0,9,3,0
"K00166","Diatom",0,0,0,0,0,0,3,2,2,0,32,12,12
"K00166","Dinoflagellate",62,17,49,76,38,41,77,58,106,44,161,85,119
"K00166","Haptophyte",174,65,255,341,236,210,0,3,8,1,5,0,12
"K00167","Chlorophyte",0,0,0,0,0,0,0,0,0,3,7,17,8
"K00167","Ciliate",14,8,6,33,21,20,63,41,104,21,30,8,1
"K00167","Diatom",2,1,4,7,3,12,0,0,0,0,0,0,0
"K00167","Dinoflagellate",56,23,56,82,69,52,58,36,67,44,122,169,157
"K00167","Haptophyte",105,56,240,197,169,142,1,3,20,1,7,1,2
"K00207","Chlorophyte",55,36,58,94,108,70,0,0,0,0,4,3,0
"K00207","Ciliate",23,13,24,31,43,10,31,26,39,40,104,81,43
"K00207","Diatom",0,0,0,2,0,1,237,177,256,3,32,24,11
"K00207","Dinoflagellate",76,43,60,137,72,42,186,134,238,519,1677,1476,1490
"K00207","Haptophyte",2,0,1,3,2,4,12,9,9,0,0,0,0
"K00213","Chlorophyte",147,75,171,282,252,195,0,0,0,0,0,0,0
