"K0_number","Level2","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31"
"K01738","Ciliate",2,2,2,0,0,2,0,0,0,0,0,0,0
"K01738","Diatom",181,87,418,310,246,294,64,57,132,6,12,16,19
"K01738","Dinoflagellate",188,90,180,266,207,179,334,217,456,382,1444,1058,1085
"K01738","Haptophyte",494,227,901,897,789,729,143,106,169,93,206,189,196
"K01749","Chlorophyte",1148,633,1627,2103,1697,1756,26,13,33,0,0,0,0
"K01749","Ciliate",2,3,5,2,6,13,0,0,0,0,0,0,0
"K01749","Diatom",654,380,1296,1002,894,1164,27,3,33,0,0,0,0
"K01749","Dinoflagellate",681,396,817,1273,1097,1065,12,18,13,0,1,4,2
"K01749","Haptophyte",1260,581,1504,1985,1758,1304,5,3,9,0,0,0,0
"K01754","Chlorophyte",459,258,511,905,735,542,30,32,23,8,20,11,32
"K01754","Ciliate",0,0,0,0,0,0,1,0,2,0,0,0,0
"K01754","Diatom",74,49,114,128,104,89,59,19,47,4,46,32,18
"K01754","Dinoflagellate",9,10,13,24,19,9,37,21,59,47,107,53,110
"K01754","Haptophyte",198,117,272,383,338,242,0,0,0,2,39,19,20
"K01755","Chlorophyte",187,99,213,377,244,233,6,3,7,0,2,0,0
"K01755","Ciliate",1,0,3,2,13,0,0,0,0,0,0,0,0
"K01755","Diatom",65,31,142,94,79,112,8,4,12,0,7,5,6
"K01755","Dinoflagellate",93,61,103,193,110,97,208,189,346,132,585,457,386
"K01755","Haptophyte",74,44,114,138,104,101,0,0,0,0,7,2,10
"K01756","Chlorophyte",71,54,118,164,128,117,0,0,0,11,15,30,18
"K01756","Ciliate",15,15,8,16,11,14,32,17,34,0,0,0,0
"K01756","Diatom",32,17,95,63,58,73,44,27,98,0,8,3,7
"K01756","Dinoflagellate",136,58,99,235,173,99,136,106,159,54,260,206,280
"K01756","Haptophyte",82,33,106,113,104,76,25,16,28,0,0,0,0
"K01759","Chlorophyte",24,19,48,55,41,60,0,0,0,0,2,2,21
"K01759","Ciliate",0,0,0,0,0,0,25,16,22,3,26,21,21
"K01759","Diatom",41,22,156,66,50,70,0,0,0,0,3,4,0
"K01759","Dinoflagellate",64,46,84,117,78,56,286,187,378,115,356,247,389
"K01759","Haptophyte",20,7,13,28,11,10,10,11,8,3,4,5,9
"K01783","Chlorophyte",935,510,1683,1845,1516,1660,10,7,11,8,18,13,1
"K01783","Ciliate",0,0,0,0,0,0,13,16,13,26,34,48,24
"K01783","Diatom",387,217,1025,551,463,713,159,128,244,38,119,122,72
"K01783","Dinoflagellate",224,123,314,422,315,346,43,26,53,90,332,272,308
"K01783","Haptophyte",1061,584,2403,1889,1598,1871,13,11,14,0,26,13,1
"K01784","Chlorophyte",413,242,469,711,574,491,5,8,8,8,8,3,8
"K01784","Ciliate",6,12,2,15,11,12,53,26,42,0,7,0,13
"K01784","Diatom",116,57,181,176,141,184,8,1,8,9,30,46,44
"K01784","Dinoflagellate",93,38,201,157,151,138,251,159,354,155,665,470,604
"K01784","Haptophyte",283,142,539,528,476,385,26,13,30,38,166,115,154
"K01785","Chlorophyte",157,96,180,305,226,210,0,0,0,0,9,9,2
"K01785","Ciliate",0,0,0,0,0,0,22,1,5,3,2,0,11
"K01785","Diatom",0,0,0,0,0,0,149,89,124,0,0,0,0
"K01785","Dinoflagellate",52,36,49,59,47,45,306,222,376,71,218,151,265
"K01785","Haptophyte",4,1,10,6,11,10,0,0,0,0,0,0,0
"K01802","Chlorophyte",104,75,212,207,164,196,57,45,99,7,3,4,2
"K01802","Ciliate",61,33,41,104,84,67,728,508,836,44,152,85,61
"K01802","Diatom",63,27,63,98,74,93,303,208,385,4,49,41,13
"K01802","Dinoflagellate",92,52,133,151,115,99,1723,1173,2260,114,616,434,605
"K01802","Haptophyte",156,62,251,251,247,182,190,164,291,10,27,23,5
"K01803","Chlorophyte",740,357,1070,1379,1017,939,25,18,29,0,14,5,8
"K01803","Ciliate",286,129,237,465,408,466,518,314,562,22,40,23,6
"K01803","Diatom",476,286,1240,748,633,998,211,118,260,35,159,96,97
"K01803","Dinoflagellate",659,326,1139,1122,936,943,557,366,756,318,1050,852,865
"K01803","Haptophyte",1667,890,4697,3135,2792,3277,175,78,166,42,42,50,47
"K01805","Chlorophyte",40,27,56,101,53,58,37,21,40,2,1,15,2
"K01805","Ciliate",0,0,0,0,0,0,0,0,0,4,23,4,19
"K01805","Diatom",56,23,69,61,61,89,77,37,70,0,19,14,4
"K01805","Dinoflagellate",177,83,254,254,204,237,1297,910,1400,337,1390,1167,1442
"K01805","Haptophyte",185,86,200,315,271,189,66,28,87,8,29,32,3
"K01809","Chlorophyte",138,73,226,283,221,200,25,4,22,13,44,35,85
"K01809","Ciliate",59,29,49,104,85,61,27,42,56,0,0,0,0
"K01809","Diatom",49,23,84,85,83,102,7,3,5,0,0,0,0
"K01809","Dinoflagellate",25,12,49,34,34,37,57,76,49,38,259,166,233
"K01809","Haptophyte",164,91,173,313,273,145,0,0,0,0,0,0,0
"K01810","Chlorophyte",881,432,893,1592,1310,915,24,16,26,0,0,0,0
"K01810","Ciliate",20,6,18,46,45,46,153,81,193,28,59,72,36
"K01810","Diatom",127,74,229,245,169,214,170,59,162,25,136,142,54
"K01810","Dinoflagellate",141,75,164,284,218,136,192,131,279,388,1449,1100,1535
"K01810","Haptophyte",258,134,348,465,412,325,203,102,207,34,118,40,80
"K01823","Chlorophyte",50,30,50,93,74,51,0,0,0,3,9,15,12
"K01823","Ciliate",12,13,15,32,18,20,4,0,3,4,7,13,11
"K01823","Diatom",41,23,53,50,48,55,3,1,5,2,3,12,3
"K01823","Dinoflagellate",22,10,14,37,25,39,9,12,15,3,10,24,23
"K01823","Haptophyte",24,19,62,52,48,36,10,5,26,0,0,0,0
"K01834","Chlorophyte",0,0,0,0,0,0,0,0,1,0,0,0,0
"K01834","Ciliate",35,13,35,47,47,57,129,64,150,5,27,2,2
"K01834","Diatom",336,186,575,601,488,536,32,20,30,3,17,21,34
"K01834","Dinoflagellate",298,177,410,508,427,350,753,440,874,204,711,487,1006
"K01834","Haptophyte",309,147,412,462,412,318,1,0,3,7,13,5,10
"K01835","Chlorophyte",1605,790,1983,2866,2401,2029,30,26,66,2,8,1,2
"K01835","Ciliate",64,52,61,111,141,84,189,70,141,22,80,47,40
"K01835","Diatom",281,144,548,448,350,484,246,217,405,88,412,366,232
"K01835","Dinoflagellate",884,420,675,1255,965,781,1117,847,1465,469,1894,1507,1937
"K01835","Haptophyte",941,487,1334,1683,1336,1083,105,74,116,16,106,76,73
"K01836","Chlorophyte",104,46,91,159,130,68,0,0,0,0,4,4,2
"K01836","Ciliate",17,10,13,32,19,25,102,55,111,0,0,0,0
"K01836","Diatom",10,3,14,16,14,17,43,32,75,10,36,5,53
"K01836","Dinoflagellate",8,3,9,16,11,3,67,23,78,13,30,15,71
"K01836","Haptophyte",46,15,49,57,48,33,5,3,6,89,233,170,259
"K01845","Chlorophyte",670,326,929,1134,974,993,75,54,129,2,1,6,0
"K01845","Ciliate",2,6,17,1,3,11,0,0,0,0,0,0,0
"K01845","Diatom",813,451,1859,1327,1139,1636,62,36,66,2,5,2,4
"K01845","Dinoflagellate",432,178,633,769,671,616,55,29,42,27,140,67,251
"K01845","Haptophyte",1608,833,2318,3001,2616,1998,3,4,4,21,40,23,6
"K01847","Chlorophyte",0,1,0,2,4,2,2,2,12,0,0,0,0
"K01847","Ciliate",26,15,13,43,36,23,41,30,49,6,8,3,8
"K01847","Diatom",18,11,27,24,27,16,21,17,28,3,3,5,0
"K01847","Dinoflagellate",11,3,1,16,6,7,0,0,0,0,19,32,22
"K01847","Haptophyte",8,3,23,19,19,9,76,45,86,14,59,23,41
"K01852","Chlorophyte",0,0,0,0,0,0,3,1,7,1,8,12,2
"K01852","Ciliate",0,0,0,0,0,0,0,0,0,0,5,7,4
"K01852","Diatom",0,0,1,6,0,1,0,0,0,0,0,0,0
"K01852","Dinoflagellate",1,2,9,3,2,3,12,7,17,0,3,3,5
"K01852","Haptophyte",3,4,11,12,7,10,15,0,14,0,0,0,0
"K01858","Chlorophyte",523,265,574,929,760,566,211,142,271,43,183,157,202
"K01858","Ciliate",371,178,146,478,522,319,122,88,194,114,253,228,298
"K01858","Diatom",107,45,164,157,138,138,94,27,168,121,443,266,363
"K01858","Dinoflagellate",188,107,232,305,265,211,426,315,487,76,344,271,381
"K01858","Haptophyte",360,198,437,683,587,433,129,67,101,74,184,171,81
"K01866","Chlorophyte",888,453,953,1539,1231,983,17,9,15,0,3,0,6
"K01866","Ciliate",9,9,3,11,19,5,126,69,110,0,0,0,0
"K01866","Diatom",63,47,102,121,102,113,62,33,94,8,69,49,23
"K01866","Dinoflagellate",30,16,11,43,26,20,140,49,117,121,435,409,551
"K01866","Haptophyte",126,70,168,243,197,155,19,16,21,1,5,13,5
"K01867","Chlorophyte",567,325,796,1132,822,679,11,12,2,186,537,402,554
"K01867","Ciliate",1,1,0,4,4,0,15,1,9,0,5,2,2
"K01867","Diatom",144,87,447,277,199,331,26,14,23,16,31,28,12
"K01867","Dinoflagellate",63,32,71,99,94,55,189,113,285,90,341,215,282
"K01867","Haptophyte",187,88,297,283,252,239,18,15,30,17,150,100,92
"K01868","Chlorophyte",955,532,955,1653,1312,1062,30,25,40,24,48,45,82
"K01868","Ciliate",71,30,29,78,103,57,181,93,166,58,118,102,83
"K01868","Diatom",299,149,543,440,368,459,300,170,354,16,106,56,44
"K01868","Dinoflagellate",252,127,164,406,273,160,267,196,379,452,1463,1138,1540
"K01868","Haptophyte",484,274,574,870,652,487,63,35,66,11,62,53,49
"K01869","Chlorophyte",1085,557,870,1811,1401,910,34,13,45,40,136,81,94
"K01869","Ciliate",57,23,35,107,78,49,572,160,356,55,133,44,51
"K01869","Diatom",166,106,309,299,237,261,39,6,46,3,51,20,14
"K01869","Dinoflagellate",115,71,79,199,129,79,338,207,399,435,1589,1274,1889
"K01869","Haptophyte",501,246,576,839,643,443,77,52,57,39,90,105,51
"K01870","Chlorophyte",1767,895,1464,3136,2313,1450,57,42,50,51,100,115,95
"K01870","Ciliate",104,71,71,161,165,85,441,250,409,26,99,90,45
"K01870","Diatom",446,219,1126,730,618,765,132,62,115,96,500,324,274
"K01870","Dinoflagellate",141,95,101,267,180,78,431,212,400,379,1206,1030,1451
"K01870","Haptophyte",399,175,443,714,507,321,112,60,95,19,63,72,39
"K01872","Chlorophyte",860,477,887,1664,1194,751,65,32,63,29,85,81,56
"K01872","Ciliate",108,56,64,187,168,93,347,177,279,122,311,330,245
"K01872","Diatom",237,147,397,383,313,347,32,23,53,59,411,284,196
"K01872","Dinoflagellate",284,167,151,435,333,176,664,400,785,445,1711,1384,1870
"K01872","Haptophyte",459,210,482,754,615,340,301,174,367,54,266,256,204
"K01873","Chlorophyte",1048,582,877,2017,1452,769,52,24,24,34,52,44,41
"K01873","Ciliate",144,79,102,232,212,134,152,79,207,25,134,100,58
"K01873","Diatom",254,113,323,395,326,342,142,79,192,1,45,33,40
"K01873","Dinoflagellate",112,74,88,204,122,51,398,169,381,180,887,692,889
"K01873","Haptophyte",438,244,557,707,603,407,115,51,112,34,98,84,86
"K01874","Chlorophyte",502,241,444,864,635,481,70,33,65,53,157,138,125
"K01874","Ciliate",6,4,3,13,11,4,195,110,195,16,106,49,49
"K01874","Diatom",94,60,136,141,134,147,8,4,10,42,180,116,76
"K01874","Dinoflagellate",75,42,64,116,111,69,324,171,289,184,701,545,782
"K01874","Haptophyte",243,121,272,382,278,215,11,0,1,10,19,2,2
"K01875","Chlorophyte",633,317,794,1088,816,732,3,8,0,100,509,416,458
"K01875","Ciliate",34,17,63,49,63,28,80,47,71,4,93,41,26
"K01875","Diatom",85,58,247,150,150,193,19,15,49,1,8,4,2
"K01875","Dinoflagellate",184,95,94,271,194,151,249,131,275,140,372,259,355
"K01875","Haptophyte",274,124,400,450,397,316,59,32,64,35,91,89,74
"K01876","Chlorophyte",411,223,532,684,533,466,34,20,23,15,89,53,42
"K01876","Ciliate",80,49,73,171,164,125,45,18,102,12,85,56,65
"K01876","Diatom",80,46,126,124,94,127,43,35,57,3,1,0,5
"K01876","Dinoflagellate",100,37,72,148,125,76,217,135,320,138,638,499,736
"K01876","Haptophyte",193,100,229,362,273,195,122,48,87,69,197,161,149
"K01880","Chlorophyte",112,69,130,186,131,151,54,38,83,34,120,112,87
"K01880","Ciliate",21,16,34,54,44,25,101,45,100,26,49,81,39
"K01880","Diatom",128,70,278,220,160,238,29,18,18,46,188,156,144
"K01880","Dinoflagellate",129,59,99,205,137,111,208,117,292,358,1010,696,960
"K01880","Haptophyte",377,206,550,668,577,530,44,37,53,39,150,124,212
"K01881","Chlorophyte",556,306,657,1042,776,617,16,14,17,27,47,38,39
"K01881","Ciliate",33,17,15,57,43,46,32,22,67,37,165,87,90
"K01881","Diatom",211,122,323,352,300,357,34,31,32,23,115,91,71
"K01881","Dinoflagellate",19,23,25,35,41,20,200,184,255,11,92,58,99
"K01881","Haptophyte",312,156,380,546,387,343,102,46,110,25,159,157,156
"K01883","Chlorophyte",374,245,434,766,584,395,33,24,30,36,298,248,205
"K01883","Ciliate",33,17,11,43,34,28,139,85,128,13,12,7,7
"K01883","Diatom",89,44,109,153,124,141,217,131,249,0,20,14,13
"K01883","Dinoflagellate",162,92,135,205,159,119,838,402,958,170,709,511,990
"K01883","Haptophyte",274,155,323,466,418,261,297,180,307,46,247,206,192
"K01885","Chlorophyte",1178,599,1189,2166,1706,1260,10,2,16,2,16,9,12
"K01885","Ciliate",36,48,27,76,50,47,235,144,297,10,81,32,30
"K01885","Diatom",147,98,281,247,269,229,7,5,14,20,22,27,18
"K01885","Dinoflagellate",311,168,376,588,460,346,220,136,279,377,1568,1153,1420
"K01885","Haptophyte",377,181,515,695,606,432,0,0,0,4,23,6,3
"K01886","Chlorophyte",385,209,319,707,504,300,0,0,0,83,466,341,506
"K01886","Ciliate",43,24,32,67,64,52,380,165,408,43,126,92,82
"K01886","Diatom",57,27,55,84,57,72,72,44,88,1,18,3,14
"K01886","Dinoflagellate",78,26,60,134,104,54,144,118,181,89,367,291,320
"K01886","Haptophyte",178,78,198,272,219,152,22,12,5,0,0,0,0
"K01887","Chlorophyte",791,414,688,1291,998,796,0,0,0,0,0,0,0
"K01887","Ciliate",19,16,7,34,27,21,153,68,158,0,8,6,29
"K01887","Diatom",90,78,168,155,131,167,69,68,69,9,78,73,49
"K01887","Dinoflagellate",154,62,122,191,167,133,203,169,362,202,818,551,819
"K01887","Haptophyte",110,46,160,223,159,101,13,24,18,0,1,3,2
"K01889","Chlorophyte",595,334,1096,1138,914,997,74,60,97,4,35,20,16
"K01889","Ciliate",6,5,11,19,12,14,22,23,18,52,111,68,112
"K01889","Diatom",178,91,359,308,237,297,40,6,31,28,194,124,154
"K01889","Dinoflagellate",135,72,109,196,146,111,296,246,327,76,255,156,309
"K01889","Haptophyte",571,311,1011,942,916,743,36,26,23,58,339,231,325
"K01890","Chlorophyte",234,120,215,405,289,201,30,32,21,28,13,12,18
"K01890","Ciliate",13,13,6,23,17,18,64,10,14,5,14,9,8
"K01890","Diatom",90,49,239,158,134,195,8,14,13,33,146,68,84
"K01890","Dinoflagellate",85,48,69,114,108,76,223,129,231,241,1175,938,1374
"K01890","Haptophyte",144,59,149,261,213,112,11,8,23,0,10,2,13
"K01892","Chlorophyte",362,179,410,622,454,363,0,0,0,15,36,45,39
"K01892","Ciliate",6,2,2,8,2,5,84,35,109,8,13,8,10
"K01892","Diatom",146,76,350,219,181,284,47,57,41,17,207,118,116
"K01892","Dinoflagellate",30,20,30,53,37,24,119,83,133,165,552,520,585
"K01892","Haptophyte",124,56,210,194,160,143,18,39,27,4,11,15,23
"K01893","Chlorophyte",463,226,603,839,626,521,67,73,102,0,33,25,15
"K01893","Ciliate",56,25,45,73,77,44,88,37,90,27,87,70,81
"K01893","Diatom",158,80,290,283,236,268,20,6,17,6,40,27,6
"K01893","Dinoflagellate",114,65,133,158,154,147,381,254,487,366,1504,1146,1412
"K01893","Haptophyte",174,97,278,364,296,229,36,36,38,21,18,26,17
"K01895","Chlorophyte",915,434,1081,1515,1229,1156,150,119,199,55,172,204,171
"K01895","Ciliate",0,0,3,0,1,1,24,13,37,0,0,0,0
"K01895","Diatom",200,90,299,278,269,305,143,110,156,9,31,28,34
"K01895","Dinoflagellate",196,118,183,329,222,162,942,533,1084,510,2064,1756,2126
"K01895","Haptophyte",337,166,412,610,536,387,207,109,206,57,232,181,162
"K01897","Chlorophyte",541,302,558,1034,793,627,22,39,30,67,311,197,190
"K01897","Ciliate",349,216,221,513,513,392,2479,2047,2754,110,684,390,371
"K01897","Diatom",871,514,1507,1397,1218,1389,133,86,249,19,149,92,74
"K01897","Dinoflagellate",345,173,234,504,401,242,1317,767,1652,999,3917,3080,3750
"K01897","Haptophyte",1719,921,1507,3014,2658,1326,600,340,652,91,356,261,267
"K01899","Chlorophyte",134,52,159,208,148,127,54,47,50,8,18,21,26
"K01899","Ciliate",108,45,70,169,174,152,417,256,479,107,463,316,272
"K01899","Diatom",154,89,206,253,213,234,195,137,252,47,205,138,84
"K01899","Dinoflagellate",343,192,455,588,422,370,767,514,943,443,1428,1019,1138
"K01899","Haptophyte",19,3,36,19,31,16,102,74,134,28,43,52,32
"K01900","Chlorophyte",284,171,304,483,387,386,63,41,107,25,101,55,50
"K01900","Ciliate",47,22,29,78,54,55,214,148,278,85,456,257,213
"K01900","Diatom",69,33,171,128,92,129,197,133,291,32,206,131,97
"K01900","Dinoflagellate",384,207,349,581,507,348,691,429,770,398,1597,1174,1410
"K01900","Haptophyte",72,34,88,131,101,101,187,109,263,21,58,80,53
"K01903","Chlorophyte",8,1,0,6,10,6,0,0,0,4,2,0,17
"K01903","Ciliate",74,36,48,107,121,71,237,123,255,9,74,32,73
"K01903","Diatom",1,5,5,10,3,15,4,2,6,8,7,12,2
"K01903","Dinoflagellate",21,6,20,40,35,10,102,69,142,22,74,85,115
"K01903","Haptophyte",0,0,0,0,0,0,4,4,4,0,0,0,0
"K01915","Chlorophyte",1755,1002,2083,3379,2589,2230,320,205,343,207,655,567,567
"K01915","Ciliate",920,555,628,1526,1461,1042,4723,2709,5082,395,1886,1255,1377
"K01915","Diatom",1617,882,2993,2261,2030,2774,1023,582,1249,81,420,270,311
"K01915","Dinoflagellate",2674,1533,3645,4343,3346,3021,9866,6243,11799,2647,11263,8104,9344
"K01915","Haptophyte",3373,1713,4797,5841,4878,4089,1481,925,1718,195,677,648,500
"K01920","Chlorophyte",82,50,94,158,115,56,0,0,0,24,133,66,51
"K01920","Ciliate",0,0,0,0,0,0,60,16,56,0,2,3,0
"K01920","Diatom",17,17,27,46,28,42,0,0,0,0,3,0,3
"K01920","Dinoflagellate",3,1,2,10,2,2,71,45,54,15,58,27,46
"K01920","Haptophyte",13,5,35,29,25,21,0,0,0,0,0,0,0
"K01923","Chlorophyte",18,4,24,41,32,26,0,0,0,0,3,0,2
"K01923","Ciliate",4,2,2,14,7,2,0,0,0,0,13,17,33
"K01923","Diatom",34,15,112,56,41,53,24,13,52,0,7,0,5
"K01923","Dinoflagellate",534,233,340,669,502,334,778,703,1015,201,659,553,722
"K01923","Haptophyte",64,45,57,107,67,53,11,5,15,0,0,0,0
"K01937","Chlorophyte",238,111,251,437,332,224,35,21,17,12,27,20,22
"K01937","Ciliate",4,0,0,6,1,1,0,0,0,0,17,12,22
"K01937","Diatom",28,14,61,52,41,50,127,94,178,30,169,62,40
"K01937","Dinoflagellate",202,115,208,331,260,138,422,339,599,342,1478,1158,1649
"K01937","Haptophyte",29,18,41,46,42,32,161,96,177,9,3,1,8
"K01938","Chlorophyte",1100,558,1195,1869,1464,1252,64,57,88,12,20,16,9
"K01938","Ciliate",0,0,0,0,0,0,0,0,0,0,11,17,30
"K01938","Diatom",18,9,58,44,35,44,23,8,24,1,4,2,0
"K01938","Dinoflagellate",108,55,84,166,135,84,209,113,258,194,711,547,675
"K01938","Haptophyte",56,41,98,112,85,69,110,40,140,0,0,0,0
"K01939","Chlorophyte",420,227,562,823,631,555,0,0,0,17,48,53,60
"K01939","Ciliate",59,29,34,101,124,82,468,281,453,17,57,33,46
"K01939","Diatom",188,106,533,365,277,420,241,177,257,31,264,112,218
"K01939","Dinoflagellate",65,36,61,104,91,78,212,126,299,74,195,259,316
"K01939","Haptophyte",171,62,187,287,226,189,8,6,7,22,37,41,27
"K01940","Chlorophyte",530,294,644,979,771,685,12,7,5,13,14,8,7
"K01940","Ciliate",20,7,6,34,17,15,0,0,0,0,0,0,0
"K01940","Diatom",208,109,433,305,230,383,172,107,174,10,16,25,12
"K01940","Dinoflagellate",116,72,116,191,167,151,134,124,226,48,348,281,328
"K01940","Haptophyte",330,152,510,534,518,461,125,66,109,79,197,179,143
"K01948","Chlorophyte",3,0,2,0,3,1,8,6,5,0,0,0,0
"K01948","Ciliate",0,0,0,0,0,0,2,0,5,0,0,0,0
"K01948","Diatom",300,163,466,442,385,445,123,76,108,4,21,8,18
"K01948","Dinoflagellate",56,32,56,82,59,21,76,43,87,26,138,79,150
"K01948","Haptophyte",338,192,356,618,465,209,989,655,1220,77,324,320,308
"K01950","Chlorophyte",160,97,157,307,242,125,6,13,2,0,0,0,0
"K01950","Ciliate",2,2,1,7,3,6,28,16,39,8,13,2,24
"K01950","Diatom",7,3,13,23,13,10,17,16,12,1,2,3,0
"K01950","Dinoflagellate",76,51,68,149,98,52,148,77,190,47,201,129,203
"K01950","Haptophyte",13,11,13,31,18,12,109,72,113,14,151,156,136
"K01951","Chlorophyte",78,63,79,151,134,112,0,0,0,0,0,0,0
"K01951","Ciliate",65,34,71,107,101,40,4,0,0,0,0,0,0
"K01951","Diatom",61,35,191,111,83,124,93,51,114,2,23,35,26
"K01951","Dinoflagellate",302,184,337,490,345,279,307,212,342,277,1067,864,954
"K01951","Haptophyte",10,6,4,41,16,10,88,32,64,2,1,8,13
"K01953","Chlorophyte",952,529,1109,1673,1374,1039,220,160,207,86,443,273,273
"K01953","Ciliate",116,39,15,137,94,66,277,150,288,31,44,20,93
"K01953","Diatom",314,183,577,528,404,552,174,131,214,32,121,122,99
"K01953","Dinoflagellate",272,157,392,483,374,360,436,146,334,541,2086,1749,1884
"K01953","Haptophyte",406,214,484,733,677,337,2,4,4,52,311,231,231
"K01955","Chlorophyte",809,401,793,1507,1138,730,4,0,2,0,0,0,0
"K01955","Ciliate",0,0,0,0,0,0,0,0,0,0,24,25,21
"K01955","Diatom",41,16,273,102,115,149,55,39,50,7,15,33,25
"K01955","Dinoflagellate",18,11,15,42,30,14,125,126,131,23,172,151,145
"K01955","Haptophyte",15,6,44,35,31,13,110,65,91,27,74,66,51
"K01965","Chlorophyte",0,0,0,0,0,0,0,0,0,9,36,20,24
"K01965","Ciliate",44,25,27,48,57,46,254,158,309,1,17,5,1
"K01965","Diatom",58,18,46,67,68,59,20,24,50,0,7,1,4
"K01965","Dinoflagellate",32,19,32,62,28,26,59,37,111,19,14,19,6
"K01965","Haptophyte",20,11,26,42,39,12,86,51,93,5,29,34,32
"K01966","Chlorophyte",1,1,4,1,0,1,0,0,0,0,0,0,0
"K01966","Ciliate",49,15,50,51,71,54,192,84,189,7,30,35,30
"K01966","Diatom",12,11,15,17,16,20,9,1,0,5,9,9,4
"K01966","Dinoflagellate",2,4,5,7,9,5,0,0,4,6,24,19,20
"K01966","Haptophyte",32,9,38,31,40,50,118,50,94,2,55,43,40
"K01968","Chlorophyte",0,0,0,0,0,0,11,6,8,12,74,80,57
"K01968","Ciliate",10,9,23,19,12,7,30,7,29,28,82,43,44
"K01968","Diatom",24,5,50,29,28,11,20,29,41,56,185,104,95
"K01968","Dinoflagellate",14,3,7,22,16,18,14,2,3,31,57,32,72
"K01968","Haptophyte",5,4,3,11,6,4,100,52,134,24,64,38,31
"K01969","Chlorophyte",3,3,0,2,4,3,21,7,15,0,9,6,3
"K01969","Ciliate",13,6,19,6,17,12,62,36,69,13,21,16,9
"K01969","Diatom",31,21,60,78,49,64,0,0,0,0,0,0,0
"K01969","Dinoflagellate",121,72,117,222,133,70,1031,617,956,317,1083,922,1491
"K01969","Haptophyte",23,14,67,76,39,36,69,35,67,29,91,95,103
"K01972","Chlorophyte",64,47,56,166,102,54,0,0,0,0,0,0,0
"K01972","Ciliate",0,0,0,0,0,0,50,62,77,0,0,0,0
"K01972","Diatom",9,1,6,5,5,11,0,0,0,10,29,5,8
"K01972","Dinoflagellate",7,5,2,2,4,1,58,15,62,64,274,180,207
"K01972","Haptophyte",12,9,1,37,27,9,26,10,23,6,7,7,24
"K01990","Chlorophyte",3,5,7,18,11,9,0,0,0,0,0,0,0
"K01990","Ciliate",0,0,0,0,2,4,45,28,31,0,2,3,0
"K01990","Diatom",5,8,50,13,8,23,0,0,0,2,3,0,1
"K01990","Dinoflagellate",8,8,3,10,8,6,48,34,45,17,46,46,40
"K01990","Haptophyte",0,0,0,0,0,0,1,0,2,0,0,0,0
"K02088","Chlorophyte",4,8,6,10,7,7,157,104,259,1,2,1,7
"K02088","Ciliate",0,0,0,0,0,0,29,35,61,0,0,0,0
"K02088","Diatom",5,0,2,14,8,6,38,20,37,0,0,0,0
"K02088","Dinoflagellate",61,33,38,75,48,36,107,90,127,51,201,115,257
"K02088","Haptophyte",0,0,0,0,0,0,7,7,10,0,0,0,0
"K02109","Chlorophyte",328,141,787,563,529,627,50,20,43,1,21,22,13
"K02109","Ciliate",0,0,0,0,0,0,0,0,0,19,115,119,58
"K02109","Diatom",31,24,167,49,47,127,0,0,0,6,28,23,13
"K02109","Dinoflagellate",593,348,834,1069,864,828,7,2,10,0,0,0,0
"K02109","Haptophyte",3,6,10,8,12,23,0,0,0,0,0,0,0
"K02111","Chlorophyte",341,193,577,612,534,567,35,40,57,8,32,18,17
"K02111","Ciliate",61,31,47,89,97,70,394,400,449,35,115,113,75
"K02111","Diatom",94,53,215,152,119,176,68,31,70,13,107,55,55
"K02111","Dinoflagellate",106,65,121,205,154,101,348,174,394,126,479,347,392
"K02111","Haptophyte",68,34,100,116,90,106,161,103,223,4,22,5,5
"K02112","Chlorophyte",61,89,312,185,115,204,21,11,30,4,42,21,27
"K02112","Ciliate",3,3,4,4,4,9,66,31,70,84,198,192,164
"K02112","Diatom",52,40,147,139,96,148,100,108,216,2,24,29,20
"K02112","Dinoflagellate",20,13,21,33,27,24,78,57,64,13,24,28,19
"K02112","Haptophyte",99,63,348,205,140,246,18,17,11,15,26,27,20
"K02115","Chlorophyte",916,508,1757,1592,1316,1794,54,30,91,1,28,4,19
"K02115","Ciliate",4,0,0,8,9,5,22,10,25,47,69,58,60
"K02115","Diatom",1097,678,2344,1743,1442,1988,313,190,541,36,290,250,249
"K02115","Dinoflagellate",874,455,1244,1551,1379,1271,4,6,15,0,6,0,0
"K02115","Haptophyte",3248,1666,6035,5644,4824,4850,70,53,95,24,94,64,54
"K02132","Chlorophyte",118,51,182,238,153,195,64,34,91,0,0,0,0
"K02132","Ciliate",937,497,601,1345,1333,1008,1942,938,2107,437,1556,1054,711
"K02132","Diatom",647,381,1512,1026,848,1258,655,283,618,331,1812,1232,1033
"K02132","Dinoflagellate",907,478,891,1347,1090,902,1669,1110,2111,769,3421,2320,2848
"K02132","Haptophyte",1194,610,1884,2042,1716,1640,334,409,463,46,257,222,170
"K02133","Chlorophyte",1762,922,2206,2993,2406,2421,262,251,381,10,44,31,51
"K02133","Ciliate",1173,619,1089,1803,1905,1735,2486,1316,3054,412,1793,1217,870
"K02133","Diatom",893,475,2171,1371,1169,1730,2131,1385,2944,292,1286,946,906
"K02133","Dinoflagellate",1135,598,1222,1783,1350,1132,2455,1542,3034,712,2798,2228,2154
