gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
aaf:AuanCp073,1.53128823682481,1.65893903335487,2.68673822106833,0.617454659462587,0.5369348786575,NA
aaf:AuanCp087,0.409734221916046,0.049837048184461,3.34402322987291,0.014903319970763,0.988109311263643,NA
aaf:AuanCp089,2.30944911785998,0.241763552021954,1.73727149683575,0.139162792034694,0.889321510006488,NA
aaf:AuanCp096,0.497841817775417,1.20963869114793,3.31446810954458,0.364957106591121,0.715143425011471,NA
aaf:AURANDRAFT_17573,1.38130195800579,2.90499854007933,2.19531484473887,1.32327194299316,0.185744958624379,NA
aaf:AURANDRAFT_18401,0.383266894482056,-2.70157525627072,3.40300973819565,-0.79387820315294,0.427266340072395,NA
aaf:AURANDRAFT_22177,33.4154138486434,-5.18932360525728,1.25460997693849,-4.13620463781129,3.53097331985287E-05,0.001847983036581
aaf:AURANDRAFT_23346,0.535621744771352,-4.41217177061535,3.37743385510249,-1.30636807703861,0.191427416391683,NA
aaf:AURANDRAFT_23438,5.68212962112723,2.13937709527628,1.57013158533642,1.36254637207231,0.173025520045263,0.332812535549809
aaf:AURANDRAFT_24462,23.5427344831132,-3.69866801675772,1.84214199097467,-2.00780832035688,0.044663664344586,0.137944589931213
aaf:AURANDRAFT_25355,0.215401688092356,0.252938280300271,3.33708120870589,0.075796261607418,0.939581190375974,NA
aaf:AURANDRAFT_25761,1.61422089738577,-3.89143824026938,2.54547237777721,-1.52876859880424,0.126321819456621,NA
aaf:AURANDRAFT_27149,119.054731485669,-3.29317022424605,1.20345407695779,-2.73643198132731,0.006210943352266,0.043538436208433
aaf:AURANDRAFT_27178,201.215726980947,-4.42027287727967,1.13670399504928,-3.88867541288799,0.000100792809682,0.003559903100229
aaf:AURANDRAFT_27183,87.1369160807935,-5.09753687331225,1.25614849148423,-4.05806869798421,4.94802139563182E-05,0.002373813264554
aaf:AURANDRAFT_27483,1.65847557858103,-3.15652675398984,2.35118700443578,-1.34252475368173,0.179425909777653,NA
aaf:AURANDRAFT_27547,116.499137782498,-3.07513335126347,1.13728788280657,-2.70391815278532,0.006852716614357,0.046195655209427
aaf:AURANDRAFT_27588,64.0557923455999,-3.53419880820211,1.23796765697155,-2.85483937185228,0.004305860044911,0.034971578472213
aaf:AURANDRAFT_27598,58.6745390829484,-0.568775507395529,1.36004767776298,-0.418202623845551,0.675798977551036,0.794827454412048
aaf:AURANDRAFT_27836,3.8235447441601,-3.96297189556694,1.77967416275324,-2.2267963307598,0.025960888737983,0.100445538479291
aaf:AURANDRAFT_28663,1.30080158357616,-1.98145904055927,3.02245545591108,-0.655579236638242,0.512094888660516,NA
aaf:AURANDRAFT_32583,0.875946197117102,-5.3025801026069,3.35115651081876,-1.58231347461338,0.113578026171792,NA
aaf:AURANDRAFT_34818,8.2497405337931,5.46261141278586,1.56735353079402,3.4852452273601,0.000491686202679,0.0092807785863
aaf:AURANDRAFT_39500,1.72797219440227,3.05177635143616,2.56392553795312,1.19027495387893,0.233938341578433,NA
aaf:AURANDRAFT_53820,38.8617728765879,-1.24848624871886,1.28345701067048,-0.972752681499363,0.330676235338583,0.502163831929365
aaf:AURANDRAFT_59855,0.766577118369485,0.956251296904197,3.09408910122663,0.309057452975448,0.757277823413921,NA
aaf:AURANDRAFT_60103,12.4267023163494,-1.79935793661034,1.43728939279174,-1.25191067688556,0.210602413816333,0.378768539937717
aaf:AURANDRAFT_60251,2.57225189049877,2.20536459281003,2.40965746285926,0.915219124212442,0.360076606835662,0.528838189520597
aaf:AURANDRAFT_60367,3.61013768740687,1.36661287027422,1.88399516464189,0.725380242965743,0.468218790249542,0.627391174285842
aaf:AURANDRAFT_60628,3.33915386593691,-1.49829476439373,2.19845379649707,-0.681522061905988,0.495541211838485,0.649847552745822
aaf:AURANDRAFT_60700,4.46031231436729,-4.22483550416018,1.95333371278505,-2.16288465023032,0.030550052659967,0.110628567530317
aaf:AURANDRAFT_61222,0.469782706512615,-3.87070358158545,3.37131954399198,-1.14812717426428,0.250916067571325,NA
aaf:AURANDRAFT_61510,1.02185206124902,2.48812265502977,2.84666519619457,0.874048222585466,0.382091992935688,NA
aaf:AURANDRAFT_62671,0.336438482897989,-1.2335248609219,3.38469501147903,-0.364441953185872,0.715528012189751,NA
aaf:AURANDRAFT_62979,107.01806067779,-1.74001942431238,1.64247665965761,-1.05938761082614,0.289423289634685,0.461238769540941
aaf:AURANDRAFT_63613,3.07041571253503,2.41555480681358,1.77599391678913,1.36011434722746,0.173793741575531,0.333844034117561
